nl,en
vertaling,translation
slaan,to beat
gaten,holes
doel,target
meter,meter
drugs,drugs
gevaarlijk,dangerous
geweldige,great
lijst,list
fbi,fbi
namen,names
deden,did
jonge,young
schelen,care
goedemorgen,good morning
dragen,to wear
iedere,every
excuseer,excuse
stom,stupid
jong,young
zover,so far
betaald,paid
kende,knew
kleren,clothes
gesprek,conversation
lukt,succeed
welk,which
vertelt,tells
prijs,price
voorstellen,introduce
huwelijk,wedding
tv,TV
missen,to miss
schrijven,to write
groep,group
herinneren,to remind
regels,rules
vonden,found
vliegtuig,plane
onderweg,on the way
delen,share
geleerd,learned
stomme,mute
bestaat,exists
james,james
vertrouw,trust
daarvoor,therefor
shit,shit
trekken,Pull
zak,bag
vanuit,from
gebracht,brought
stem,voice
gezin,family
keuze,choice
raken,touch
direct,straight away
verdomde,damn
boot,boat
dom,stupid
verleden,past
gemist,missed
duurt,takes
gedachten,thoughts
situatie,situation
moe,tired
deal,deal
tafel,table
band,band
generaal,general
reis,trip
partner,partner
leuke,nice
raad,council
honger,hunger
geraakt,hit
gebouw,building
zwaar,heavy
gast,guest
gestuurd,forwarded
geboren,born
bracht,brought
rechter,judge
agenten,agents
bureau,desk
macht,power
spreek,speak
derde,third
regel,rule
kolonel,colonel
ruzie,fight
oma,Grandma
zeiden,said
speelt,plays
dronken,drunk
vliegen,fly
luitenant,lieutenant
gelooft,believes
arme,poor
seconden,seconds
liep,ran
tuurlijk,of course
red,red
gefeliciteerd,congratulations
koud,cold
regelen,arrange for
henry,Henry
bericht,message
vlucht,flight
moeite,effort
hel,hell
dame,Lady
oog,eye
ma,mom
dansen,to dance
teken,sign
onmogelijk,impossible
gewerkt,worked
helaas,unfortunately
grapje,just kidding
arm,arm
show,show
lachen,laugh
leggen,down
sleutel,key
wet,law
liefje,sweetheart
keek,watched
paul,paul
alex,alex
aantal,number
zoekt,searches
extra,additional
zweer,ulcer
leiden,lead
harry,harry
mary,mary
lijk,corpse
kapot,Broken
bleef,Remained
gebroken,broken
uiteindelijk,finally
verdwenen,disappeared
kaart,Map
kerk,church
mijne,mine
dode,dead
brand,fire
i,i
max,max
betrokken,concerned
wegwezen,get out
plannen,plan
volg,follow
lastig,difficult
tijdje,while
negen,nine
gebied,area
beiden,both
eind,end
operatie,operation
diep,deep
persoonlijk,in person
liegen,to lie
zwanger,pregnant
club,club
respect,respect
steek,sting
waarvoor,which
missie,mission
cool,cool
danny,danny
amerika,America
zon,Sun
kost,costs
paard,horse
waarop,upon which
maat,measure
brief,letter
raak,striking
rijk,rich
rij,queue
risico,risk
meestal,mostly
witte,white
getuige,witness
kwalijk,ill
rechercheur,detective
schoenen,shoes
bar,bar
hoeven,hooves
midden,middle
hopelijk,hopefully
lijn,line
eer,honor
gezet,put
zuster,sister
bal,ball
a,a
sprak,spoke
aanval,attack
aandacht,attention
kiezen,select
komaan,come on
rode,red
meiden,girls
amerikaanse,American
adres,address
zee,sea
hoog,high
feestje,party
gekocht,purchased
bevel,command
wedstrijd,contest
sluiten,Close
daarvan,thereof
jimmy,Jimmy
volledig,fully
rot,rot
les,lesson
ziel,soul
interessant,interesting
slag,battle
sluit,closes
zelfmoord,suicide
computer,computer
planeet,planet
bereiken,to achieve
verdachte,suspect
sarah,sarah
gelezen,read
uitleggen,to explain
beloofd,promised
laatst,last
winkel,store
zul,you
wagen,car
angst,fear
muur,wall
leeg,empty
bezoek,visit
stelen,steal
gewonnen,won
positie,position
wisten,knew
sheriff,sheriff
bekijken,see
helft,half
r,r
warm,hot
keus,choice
vanmorgen,this morning
park,park
zulke,these
nick,Nick
heerlijk,delicious
gevallen,cases
zaten,sat
rennen,run
gewond,injured
sergeant,sergeant
volk,people
dieren,animals
kort,short
spreekt,speaks
ah,Ah
allen,all
tony,tony
verdient,earns
onderzoeken,to investigate
haast,rush
dromen,to dream
systeem,system
meester,master
kont,ass
enig,any
ontdekt,discovered
verkocht,sold
tante,aunt
bewegen,to move
geschreven,written
groter,taller
neus,nose
ach,oh
verklaring,statement
broek,pants
verdienen,to earn
speel,play
hangt,depends
vijand,enemy
gelukt,successful
verschillende,various
speciale,special one
verrassing,surprise
vreemde,stranger
sla,lettuce
geschiedenis,history
erachter,out
lul,dick
bezorgd,Worried
hoogte,height
vrede,peace
meegenomen,included
zagen,saw
liegt,lying
bus,bus
belachelijk,ridiculous
betere,better
raam,window
wijn,wine
mes,knife
ontslagen,laid off
geheime,secret
gehouden,held
weggaan,depart
weekend,weekend
eh,eh
excuses,excuses
getuigen,witness
jim,jim
bom,bomb
inspecteur,inspector
gehaald,achieved
spoor,track
held,hero
benen,legs
dachten,thought
waarvan,from what
tas,bag
thee,tea
ray,ray
jane,Jane
overleven,survive
belt,call
meenemen,take
nek,neck
gevecht,fight
bestaan,to exist
ongelooflijk,incredible
slachtoffers,victims
drink,drinking
ring,ring
donker,dark
links,left
dichtbij,close to
bereid,prepared
feit,fact
vriendje,boyfriend
professor,professor
verschil,difference
collega,colleague
spul,stuff
boeken,books
slaat,hit
will,will
alweer,again
rekening,bill
gooi,throw
beslissing,decision
verlies,loss
been,leg
verjaardag,birthday
lift,elevator
tommy,tommy
bob,bob
koningin,queen
teveel,too much
levend,living
waarmee,by which
raakt,hit
draagt,wear
verandert,changes
trein,train
da,da
monster,sample
raakte,hit
sporen,tracks
opa,grandfather
zingen,to sing
voeten,feet
lot,lot
richting,direction
knap,good looking
duren,last
speciaal,special
gebruikte,used
gestopt,stopped
hoge,High
gesloten,Closed
boord,board
bedoelde,meant
gepakt,caught
you,you
draai,twist
vannacht,tonight
ijs,ice
enorme,enormous
reed,drove
beurt,turn
koop,buy
appartement,apartment
cel,cell
d,d
begraven,to bury
indruk,impression
vlees,meat
strijd,fight
ochtend,morning
keuken,kitchen
energie,energy
vernietigen,destroy
geregeld,regularly
plaatsen,place
gevoelens,feelings
last,load
la,la
bedanken,to thank
ophouden,stop
hangen,to hang
kennis,knowledge
bill,Bill
patiënt,patient
zware,heavy
basis,base
kat,cat
glas,glass
sloeg,hit
dankzij,thanks to
dader,perpetrator
gasten,visitors
zwart,black
betaal,pay
adem,breath
richard,richard
boodschap,message
grap,joke
bos,forest
geholpen,assisted
godsnaam,God sake
prachtige,gorgeous
neergeschoten,shot
werkelijk,really
gestorven,died
huilen,to cry
commandant,commander
billy,Billy
soldaten,soldiers
jake,jake
jurk,dress
gevangen,caught
veiligheid,safety
hoek,corner
hiermee,with this
afstand,distance
kilometer,kilometer
regering,government
stoel,chair
onschuldig,innocent
kogel,ball
londen,London
vlak,flat
stuurde,sent
fijne,fine
waarin,in which
voet,foot
haalt,gets
ontsnappen,escape
gooien,throw
rechts,right
ineens,suddenly
ouwe,old
test,test
toestemming,permission
wraak,revenge
breken,break
rol,role
opschieten,Hurry up
kalm,calm
goud,gold
verantwoordelijk,responsible
enorm,enormous
bespreken,discuss
noemt,mentions
verdorie,shucks
ervaring,experience
soldaat,soldier
gepraat,talk
steve,steve
mark,Mark
totaal,total
and,and
gratis,free
overleden,passed away
moorden,murder
eiland,Island
beeld,statue
passen,to fit
leeftijd,age
noemde,named
tekenen,to draw
doorgaan,Get on
boom,tree
uitzoeken,investigate
dak,roof
besloten,private
lunch,lunch
ryan,ryan
vele,many
schoon,clean
controleren,to check
gearresteerd,arrested
schoot,lap
eraf,off
achteruit,backwards
johnny,Johnny
belangrijke,important
lees,read
perfecte,perfect
dorp,village
eikel,jerk
bobby,Bobby
dossier,dossier
past,suits
code,code
vieren,to celebrate
geluid,sound
homo,homo
verschrikkelijk,terrible
stelt,states
slaapt,sleeps
bier,beer
dna,dna
hoelang,how long
eenmaal,once
simpel,easy
zocht,sought
blauwe,blue
stukje,piece
vermist,missing
zorgt,makes
gat,hole
ouder,parent
kate,kate
schrijf,write
schreef,wrote
wens,wish
geslagen,beaten
parijs,Paris
toevallig,accidentally
leiding,conduit
edelachtbare,Honor
bouwen,to build
geweten,conscience
heilige,saint
restaurant,restaurant
sterft,dies
toegang,access
verbergen,hide
draait,runs
leidt,leads
armen,arms
luke,luke
taak,task
ware,true
lab,lab
misdaad,crime
nadenken,reflect
vakantie,holidays
behoorlijk,fairly
sleutels,Keys
video,video
levens,lives
geniet,enjoy
draaien,to turn
vertrek,departure
betreft,regarding
eric,eric
slot,key lock
ms,ms
verpest,ruined
proces,process
opdracht,order
programma,program
klote,sucks
leider,leader
actie,action
waardoor,Causing
antwoorden,answers
gezeten,seated
bruiloft,wedding
vorm,form
woon,residential
directeur,director
cliënt,client
goedenavond,good evening
advies,advice
hoewel,although
eddie,eddie
chris,chris
uren,hours
welterusten,good night
tijden,times
volwassen,grown up
vuile,dirty
majoor,major
radio,radio
aangenaam,pleasant
drankje,drink
maan,Moon
kregen,got
gemakkelijk,easy
vergeef,forgive
klas,class
krant,newspaper
langzaam,slowly
kosten,cost
martin,Martin
procent,per cent
mist,fog
pad,path
verdwijnen,to disappear
gelogen,lied
beweging,motion
twijfel,doubt
neef,cousin
gemeen,common
fles,bottle
dol,crazy
draag,wear
vis,fish
waarover,about what
rood,red
hersenen,brain
der,der
verloor,lost
taxi,cab
voorkomen,appearance
medicijnen,medicines
okay,Okay
binnenkort,soon
doos,box
terecht,justly
mening,opinion
geweer,gun
bezit,property
top,top
wonder,miracle
vergeven,to forgive
stopt,stops
hopen,to hope
thomas,thomas
ophalen,to pick up
wind,wind
oplossen,to resolve
jaloers,jealous
kevin,kevin
rachel,rachel
onmiddellijk,immediately
gedrag,behaviour
charles,charles
stemmen,to vote
ontbijt,breakfast
lol,LOL
walter,walter
honden,dogs
ontvangen,received
verhalen,stories
rivier,river
twaalf,twelve
voedsel,food
gauw,soon
volgt,follows
vaker,more often
adam,Adam
keren,turn
klanten,customers
chef,chef
wint,wins
brian,brian
minuut,minute
anna,anna
detective,detective
verraden,betray
don,don
geweld,violence
akkoord,agreement
tonen,show
genoemd,mentioned
gewone,ordinary
papieren,paper
verband,bandage
hoopte,hoped
rare,weird
brug,bridge
jas,jacket
bloemen,flowers
daniel,daniel
trap,stairway
mijnheer,Sir
aanvallen,to attack
leer,leather
street,street
opnemen,record
robert,robert
schade,damage
blijkt,turns out
bijzonder,particular
huid,skin
krachten,forces
zakken,lower
openen,to open
arts,doctor
hoer,whore
gestoord,disturbed
scott,scott
gegeten,ate
echtgenoot,husband
bedoeling,intention
durf,dare
trouw,faithfully
bedenken,think
ergste,worst
bedacht,conceived
tegenhouden,stop
vermoordde,killed
nachts,night
vertrokken,departed
knul,guy
engels,English
start,Start
favoriete,favourite
persoonlijke,personal
bepaalde,particular
sommigen,some
yeah,yeah
momentje,just hold on
medische,medical
sexy,sexy
burgemeester,mayor
lee,lee
officier,officer
kussen,To kiss
date,date
ster,star
gezocht,wanted
captain,captain
wezen,being
roep,call
details,details
zomer,summer
dikke,thick
ruikt,smells
eigenaar,owner
motor,engine
universiteit,university
hielp,helped
kus,kiss
luistert,listening
gegevens,data
claire,claire
beveiliging,security
nagedacht,thought
lisa,lisa
gekozen,chosen
betaalt,pay
betekenen,mean
verborgen,hidden
publiek,audience
carrière,career
tanden,teeth
amy,amy
rapport,report
super,super
vrije,free
geheimen,secrets
opeens,suddenly
beest,beast
afgesproken,agreed
halve,half
rijdt,rides
belangrijkste,main
kamp,camp
leef,live
washington,Washington
steun,support
afdeling,department
honderd,hundred
vorig,last
rook,smoke
boel,lot
vecht,fight
strand,beach
jason,jason
magie,magic
oplossing,solution
type,type
rusten,rest
droeg,wore
wellicht,perhaps
beelden,images
genaamd,named
terugkomen,coming back
voeren,feed
waardeer,appreciate
nauwelijks,barely
bad,bath
bieden,offer
geïnteresseerd,interested
verlaat,leaves
duivel,devil
overkomen,befall
speelde,played
pond,lb
ballen,balls
duizenden,thousands
gedoe,hassle
city,City
nerveus,nervous
locatie,Location
blik,look
doelwit,target
gekke,crazy
meegemaakt,experienced
twintig,twenty
emily,emily
klant,customer
kerels,guys
loog,lye
post,post
aangevallen,attacked
oren,ears
emma,emma
springen,to jump
gevolgd,followed
releases,releases
lach,laugh
ontmoette,met
zwak,weak
engeland,England
ziekte,disease
sterren,stars
kyle,kyle
trekt,attracts
toilet,toilet
steen,stone
logisch,logical
landen,Nations
geloofde,believed
fouten,faults
verwachten,expect
leo,leo
dankbaar,grateful
veroorzaakt,causes
duizend,thousand
wow,wow
aangedaan,affected
andy,andy
jury,jury
verslaan,defeat
vangen,to catch
christus,Christ
maria,Mary
testen,to test
grens,border
paniek,panic
nogmaals,once again
telefoontje,call
steken,stabbing
jesse,jesse
pete,pete
ontsnapt,Escaped
herinnert,recalls
paarden,horses
vaders,fathers
theorie,theory
kleur,color
prins,Prince
vissen,fishing
bron,source
lid,member
drank,drink
vergadering,meeting
gebleven,remained
meerdere,multiple
ondanks,despite
machine,machine
moeders,mothers
signaal,signal
geslapen,slept
lijden,suffering
stappen,to step
carter,crankcase
eeuwig,everlasting
vreselijke,fearful
km,km
matt,matt
doodde,killed
dik,fat
verkoop,sale
rechtbank,court
harde,tough
genezen,to cure
begrafenis,funeral
veld,field
straf,punishment
uitgenodigd,invited
laag,low
grace,Grace
kies,choose
wiens,whose
william,william
schattig,cute
dr.,dr.
schot,shot
vijanden,enemies
neuken,fuck
broers,brothers
jagen,to hunt
tevreden,satisfied
gaven,gifts
taart,cake
domme,stupid
flat,flat
manieren,manners
afmaken,finish up
vriendelijk,friendly
san,san
sterker,stronger
vluchten,flee
pers,press
project,project
st,st
vertrekt,leaves
belang,interest
frankrijk,France
lukken,work out
geschoten,shot
prinses,princess
zwaard,sword
aandoen,to put on
arthur,arthur
annie,annie
makkelijker,easier
gedragen,behave
bende,gang
ernstig,serious
gezond,healthy
jouwe,yours
vingers,fingers
las,weld
arresteren,to arrest
tuin,garden
ideeën,ideas
korte,short
gelaten,left
sean,sean
duitse,German
vrijdag,Friday
opstaan,rise
kunst,art
sterke,strong
afscheid,goodbye
menselijke,human
minister,minister
clark,clark
coach,coach
verboden,forbidden
kelder,cellar
gezelschap,party
bijvoorbeeld,for instance
achtergelaten,abandoned
duur,expensive
compleet,complete
to,to
eng,spooky
toeval,coincidence
snapt,understands
hiervan,hereof
miljoenen,millions
simon,simon
jerry,Jerry
war,confused
melk,milk
kelly,kelly
lui,lazy
genieten,to enjoy
aannemen,take
uitstekend,excellent
tegenover,opposite
dichterbij,closer
chicago,chicago
kocht,bought
stuurt,sends
volle,full
schijnt,seems
lenen,to borrow
moed,courage
alice,alice
vergissing,mistake
patiënten,patients
toon,tone
normale,normal
broeder,brother
kaarten,Cards
films,movies
reizen,to travel
ruim,spacious
herinneringen,memories
gedachte,thought
saai,boring
joey,Joey
roken,smoking
truck,truck
gaaf,whole
tegenwoordig,nowadays
kwestie,matter
zette,put
opzij,aside
gaande,going on
omgeving,surroundings
kip,chicken
verstopt,constipated
leerde,learned
vanochtend,this morning
kast,closet
officieel,officially
aanbod,offer
sms,text message
vernietigd,destroyed
verliest,loses
menselijk,human
contract,contract
lady,lady
mooiste,most beautiful
flink,lot
majesteit,majesty
cia,C.I.A
carl,carl
sukkel,softy
stopte,stopped
haalde,took
verdiend,earned
genoegen,pleasure
senator,senator
buren,neighbors
alan,alan
internet,internet
vloer,floor
zwemmen,swimming
taylor,taylor
bedoeld,intended
opgesloten,locked up
ontslag,dismissal
bekijk,view
borst,chest
schreeuwen,shout
bevalt,like
hoger,higher
blanke,White person
redenen,reasons
harder,mullet
ed,ed
ontvoerd,kidnapped
vasthouden,to hold
dave,dave
lucy,lucy
behandelen,to treat
berg,mountain
noorden,north
opgeven,give up
bepaald,determined
spelletje,game
maatje,Buddy
daardoor,thereby
omstandigheden,circumstances
opgelost,solved
heus,really
koken,Cook
vingerafdrukken,fingerprints
trut,bitch
eenvoudig,simple
hiervoor,for this
stukken,pieces
tent,tent
pauze,pause
raden,to guess
roepen,call
leugenaar,liar
bek,beak
vervangen,to replace
alarm,alarm
interesse,interest
talent,talent
bereikt,reached
amerikanen,americans
kanker,cancer
ted,ted
aangezien,because
beslissen,decide
des,des
rose,rose
cadeau,gift
mexico,Mexico
kerst,Christmas
louis,louis
invloed,influence
geheugen,memory
station,station
doorheen,through
vogel,bird
verantwoordelijkheid,responsibility
rome,Rome
diner,dinner
besluit,decision
vlug,quickly
deuren,doors
woonde,lived
west,west
huh,huh
verstand,wit
moeilijke,difficult
juffrouw,miss
bescherming,protection
quality,quality
stilte,Silence
bak,bin
papier,paper
erom,around
volledige,full
